movie_id,title,url,rating_overall,rating_num,rating_5,rating_4,rating_3,rating_2,rating_1
25857301,三国杀·幻,https://movie.douban.com/subject/25857301/,3.5,700,7.00%,2.30%,7.00%,25.60%,58.10%
27110363,名侦探柯南·零的执行人,https://movie.douban.com/subject/27110363/,5.7,116705,4.90%,13.10%,49.40%,26.90%,5.60%
26373536,地层深处,https://movie.douban.com/subject/26373536/,null,NA,NA,NA,NA,NA,NA
30143861,我的冤家是条狗,https://movie.douban.com/subject/30143861/,6.3,12185,5.30%,22.30%,54.80%,15.20%,2.50%
26771265,青春正蓝,https://movie.douban.com/subject/26771265/,null,NA,NA,NA,NA,NA,NA
27615233,你好，之华,https://movie.douban.com/subject/27615233/,6.7,257599,8.60%,31.60%,46.10%,11.40%,2.30%
30353531,两个俏公主,https://movie.douban.com/subject/30353531/,null,NA,NA,NA,NA,NA,NA
30374624,那些名字那些年,https://movie.douban.com/subject/30374624/,null,NA,NA,NA,NA,NA,NA
26730542,有五个姐姐的我就注定要单身了啊,https://movie.douban.com/subject/26730542/,4.2,3199,1.50%,4.50%,26.40%,40.00%,27.50%
27110296,无名之辈,https://movie.douban.com/subject/27110296/,8,995297,28.60%,47.60%,20.60%,2.70%,0.50%
27202758,梦境之源,https://movie.douban.com/subject/27202758/,null,NA,NA,NA,NA,NA,NA
26147417,神奇动物：格林德沃之罪,https://movie.douban.com/subject/26147417/,7,472318,12.90%,34.80%,42.70%,8.40%,1.20%
35073565,锁,https://movie.douban.com/subject/35073565/,4.3,125460,1.10%,4.10%,26.20%,46.50%,22.20%
30367732,最后一公里,https://movie.douban.com/subject/30367732/,null,NA,NA,NA,NA,NA,NA
30377126,追宝狂想曲,https://movie.douban.com/subject/30377126/,null,NA,NA,NA,NA,NA,NA
27614899,记忆折叠,https://movie.douban.com/subject/27614899/,3.4,396,0.00%,2.20%,15.20%,32.60%,50.00%
26847920,破梦游戏,https://movie.douban.com/subject/26847920/,3.6,1647,5.10%,3.00%,13.10%,26.30%,52.50%
30367751,正正的世界,https://movie.douban.com/subject/30367751/,null,NA,NA,NA,NA,NA,NA
27068535,笑神穷不怕,https://movie.douban.com/subject/27068535/,3.1,432,3.80%,0.00%,11.50%,15.40%,69.20%
30279917,爱在归来那一天,https://movie.douban.com/subject/30279917/,null,NA,NA,NA,NA,NA,NA
27662353,忠犬大营救,https://movie.douban.com/subject/27662353/,null,NA,NA,NA,NA,NA,NA
27102739,中国蓝盔,https://movie.douban.com/subject/27102739/,3.5,7520,2.80%,2.80%,13.40%,30.70%,50.30%
20438964,无敌破坏王二：大闹互联网,https://movie.douban.com/subject/20438964/,8,374336,28.60%,46.40%,22.60%,2.20%,0.30%
26656814,恐怖快递,https://movie.douban.com/subject/26656814/,2.2,517,0.00%,0.00%,3.10%,3.10%,93.80%
27073234,憨豆特工三,https://movie.douban.com/subject/27073234/,6.3,83416,5.90%,22.40%,56.20%,13.50%,2.00%
30362527,奶奶的家,https://movie.douban.com/subject/30362527/,null,NA,NA,NA,NA,NA,NA
1901329,克隆人,https://movie.douban.com/subject/1901329/,8.6,3755,45.40%,40.10%,12.90%,1.10%,0.30%
27125000,超萌特攻,https://movie.douban.com/subject/27125000/,null,NA,NA,NA,NA,NA,NA
35089901,生活万岁,https://movie.douban.com/subject/35089901/,5.7,3786,6.50%,19.60%,38.00%,20.70%,15.20%
30329714,冒牌搭档,https://movie.douban.com/subject/30329714/,3,1264,0.00%,1.80%,9.10%,25.50%,63.60%
26786642,摘金奇缘,https://movie.douban.com/subject/26786642/,6,116252,4.60%,20.00%,51.60%,19.30%,4.60%
27180977,在天堂等我,https://movie.douban.com/subject/27180977/,null,NA,NA,NA,NA,NA,NA
25909389,亡命救赎,https://movie.douban.com/subject/25909389/,5.8,7761,4.20%,14.30%,53.40%,24.30%,3.90%
